keyword,sentances
Euphoria,I felt the great fear-loneliness in the other Marl begin to recede and in its place came an almost overpowering euphoria.
Euphoria,"There is no metaphysical hair-splitting in An Enemy of the People, nor sentimental talk about euphoria and going happily to death."
Euphoria,"It was against the law for dozy-pills to produce a sensation of euphoria, of well-being."
Euphoria,"Her hesitant voice was music, rousing in Farrell a warm and expectant euphoria that glowed like old wine in his veins."
Extravagance,"Cereal brings back memories of lazy mornings and easy extravagance, a time when worries were few and comfort was plenty."
Extravagance,"Unfortunately, despite the extravagance of the parades, Putin was not there to witness the festivities."
Extravagance,"Gaga may call ARTPOP her new look, but it seems that the singer's need for extravagance is part of her same old tricks."
Extravagance,But eight-penny bread would be an outrageous extravagance in these times.
Extravagance,"Many have accused the Spanish royals of living a life of extravagance using public funds, even as much of Spain is suffering."
Extravagance,"The room was prettily furnished, and Georgie had often accused herself of extravagance."
Extravagance,"What reliance could repose upon a house, divided against itself—not safe from the extravagance and pillage of its own members?"
Extravagance,"This is one of the truths which sloth, rapacity and extravagance are slow to learn, yet which they cannot safely ignore."
Extravagance,"I doubt,” she answered, with the instinct of extravagance that annoyed Hubert, “I doubt if I know anything else."
Extravagance,"But there was in general nothing Oriental about him, no assumption of barbaric pompousness, no extravagance of bearing."
Felicity,"felicity Huffman [who starred on the show] texted me, “That street looks very familiar ...” She tweeted me."
Felicity,Alias would make a star out of former felicity guest star Garner and become an international hit.
Felicity,"Cherry admitted he told at least two of her costars, Eva Longoria and felicity Huffman, two months earlier."
Felicity,"After felicity wrapped in 2002, many of his costars graduated to bigger projects."
Felicity,‘The Vow’: What Happened to ‘Felicity’ Hunk Scott Speedman?
Felicity,"He is a creator of television shows including felicity, Alias, and Lost."
Felicity,"“Now this is what I call real felicity,” observed the major, pulling out a pipe which he proceeded to fill."
Felicity,"The charm of style, the delicacy of touch, and felicity of phrase, are in both cases preeminent."
Felicity,I conceive that the strictest union of affection is requisite to conjugal felicity.
Felicity,"Marriage, which ought to be a source of all felicity, is often to a man a heavy burden which crushes him through want of fortune."
Felicity,"On the sweet face of this brave mother, once so severely tried, the expression of profound felicity was depicted."
Idyllic,"Despite the confinement, those early years were often idyllic."
Idyllic,"But then, just when we feared that the Cox we suspected we knew was about to get too schmaltzy, too idyllic, she adds a caveat."
Idyllic,"Where the love stories are romantic but real, idyllic yet flawed."
Idyllic,"For starters, the idyllic town near the Jersey Shore already has a Walmart."
Idyllic,"On one side: concerned, alert residents who wish to keep their idyllic Oregon communities safe."
Idyllic,"There a hearty welcome from his relations awaited him, and all the idyllic enjoyments of the country."
Idyllic,"Then, as though grown weary of the idyllic romance she was composing, Fortune donned the tragic robes of Nemesis."
Idyllic,His projected trip around the world lost its charm in the light of this idyllic dream.
Idyllic,"We may wish that he had left us a chapter of that idyllic journey, but it will never be written now."
Idyllic,"In fact, her description of their life in the pretty chateau they have rented outside of Paris is quite idyllic."
Incandescent,"To that end, the budget postpones federal phase-out of incandescent electric bulbs."
Incandescent,"His bright idea turned out to be the incandescent light bulb, which he invented in 1880."
Incandescent,"The lighting industry has rolled out a series of new products—LEDs, CFLs, new incandescent bulbs—that comply with the standard."
Incandescent,U.S. policy since 2007 has been to phase out incandescent light bulbs.
Incandescent,They last far longer than incandescent bulbs and save enormous amounts of energy.
Incandescent,"Its a fine large word, and is in my line; it has quite a learned and cerebrospinal incandescent sound."
Incandescent,"The yacht is lighted throughout by electricity, there being over 200 incandescent lamps."
Incandescent,"On the inside of the spool, or towel support, an ordinary incandescent electric globe was placed."
Incandescent,Pieces of platinum that will serve very nicely for the purpose may be obtained from an old incandescent lamp.
Incandescent,The experiments and endeavors that brought this result constitute the story of the incandescent lamp.
Incendiary,"The Wolf of Wall Street is a dangerous, incendiary work of art."
Incendiary,And social media in general has been blamed for making an incendiary situation in the Middle East even more tense.
Incendiary,"Even more incendiary, Barry asserts the FBI was actually trying to kill him."
Incendiary,Does Israel offer up any facts to fortify his incendiary charge?
Incendiary,"Anwar looks and sounds like an accountant as he addresses a question no more incendiary than monetary debt, with charts included."
Incendiary,The Roman capitol fired during the night by an incendiary and consumed.
Incendiary,"Sentiments were offered and speeches made, which in other days would have been called incendiary."
Incendiary,The incendiary wagons were filled with the firebrands stamped 1912.
Incendiary,On the night of May 24 the city became a scene of incendiary rage.
Incendiary,"The range was obtained by the aviators, and then incendiary bombs were fired."
Ineffable,It was something ineffable and harder to define: freedom of speech.
Ineffable,"And on that score, on that ineffable quality called charisma, Walker may face his biggest challenges."
Ineffable,Consider this latest ineffable outrage making the rounds on conservative websites.
Ineffable,"Sometimes there's a thing in the air, an ineffable thing, that just makes it all work."
Ineffable,"They need God to feel immanent, nearly material like a Greek deity, while we need God to be thought ineffable and mysterious."
Ineffable,"The young man's face suddenly changed, and assumed an expression of ineffable gentleness."
Ineffable,"A strange spell came over the gazer, a spell of tender awe and ineffable peace."
Ineffable,"But the teacher does not go beyond this, and descant upon the opposite conditions, and promise joys ineffable and full of glory."
Ineffable,"She chatted as usual in very good spirits, and just before he went she told him the report with a smile of ineffable scorn."
Ineffable,Balaustion—wild pomegranate flower—has in her something of the Greek; but she has also an ineffable touch of our modern time.
Infatuation,The German infatuation with Atatürk and Turkey waned after the Beerhall Putsch.
Infatuation,"Her love of learning was clearly as intense as her love for any man or woman, and it was this infatuation that dominated her life."
Infatuation,"Many view it as a man drawn to his doom by his infatuation for a younger woman, and youth in general."
Infatuation,"Sure, they share certain characteristics: the adult themes, the infatuation with antiheroes, the cinematic art direction."
Infatuation,"The 1970s were an open revolt against the idea of the dutiful pair bond, in favor of a life of perpetual infatuation."
Infatuation,"Elizabeth, meanwhile, was filled with alarms respecting her daughter's unhappy infatuation."
Infatuation,He had at once plunged74 himself in difficulties with his barons by his infatuation for Piers de Gaveston.
Infatuation,"When one considers a phenomenon of such range and intensity, it does not suffice to employ words like infatuation, fashion, mania."
Infatuation,"There were others of the same infatuation, whom, because they are Roman citizens, I have noted down to be sent to the city (Rome)."
Infatuation,This infatuation is the more extraordinary because few of the adventurers knew to what place they were going.
Lagoon,No one knows exactly why 29-year-old Iranian costume design student Mahtab Savoji turned up dead in the Venice lagoon last week.
Lagoon,"Iranian Found In Venice Lagoon, Alleged Victim Of Botched Sex Game"
Lagoon,I wind up driving into a lagoon of some kind and presumably drowning.
Lagoon,A one-legged torso wearing only a stiletto-heeled boot was found floating in a Venice lagoon.
Lagoon,Headless Torso Found in Venice Lagoon
Lagoon,She was the Brooke Shields we fell in love with in Blue lagoon—but of age.
Lagoon,"He called out something about his fish, and soon after passed out of sight into the lagoon."
Lagoon,"""It's across the lagoon,"" Dr. Silence cried, but this time in full tones that paid no tribute to caution."
Lagoon,"And an answering cry sounded across the lagoon—thin, wailing, piteous."
Lagoon,"She looked long away from me across the lagoon and at last sighed, like one who has drunk deeply, and turned to me."
Lagoon,"Making our way in the direction pointed out, we saw before us a creek falling into the lagoon."
Lithe,Yet there were no pictures of Harry in his swimming trunks being kissed by lithe beauties on Ipanema Beach this week.
Lithe,"He wanted to be lithe and smooth and lightly airborne, working on his break dancing until he could make himself appear to flow."
Lithe,"Who was that lithe, bendable gymnast setting alight the Olympic flame?"
Lithe,"The fact is that Putin has never publically acknowledged his rumored relationship with the lithe, bendable Kabaeva."
Lithe,"The Fishermen, like thieves, shake out their silver,/ the lithe knives wriggle on the drying sand."
Lithe,"Of course the lithe and active Susy escaped him, and also escaped being too late by only half a minute."
Lithe,"Along the corridor he went with a lithe, silent step, moving from the hips and swinging his shoulders."
Lithe,"Clip, by a quick movement of his lithe body, caught the man's wrist and held the weapon back."
Lithe,"Peter, as lithe as a cat, was on his feet again almost at once, with a torn collar and an ugly mark on his face."
Lithe,"The animals are quite as large as ordinary horses, are lithe, active, and literally unhurtable."
Love,What happened to true love knows no boundaries and all that?
Love,"“I love my job and I love my city and I am committed to the work here,” he said in a statement."
Love,"And we have a lot of great guests this season: Greta Gerwig, Natasha Lyonne, Olivia Wilde, Steve Buscemi is back—I love that guy."
Love,"You just travel light with carry-on luggage, go to cities that you love, and get to hang out with all your friends."
Love,"Terrorism is bad news anywhere, but especially rough on Odessa, where the city motto seems to be “make love, not war.”"
Love,"In this case, I suspect, there was co-operant a strongly marked childish characteristic, the love of producing an effect."
Love,"The well-known ""cock and bull"" stories of small children are inspired by this love of strong effect."
Love,"Women generally consider consequences in love, seldom in resentment."
Love,"And as she hesitated between obedience to one and duty toward the other, her life, her love and future was in the balance."
Love,Nothing but an extreme love of truth could have hindered me from concealing this part of my story.
Lullaby,"But then that night, Dad played it back to me in bed, like a lullaby, my own recorded voice singing myself to sleep."
Lullaby,Washington loves a lullaby—like the one about both sides deserving blame for the decline in bipartisanship.
Lullaby,Gervais sings Elmo a “celebrity lullaby” and even offers him a “celebrity cup of milk.”
Lullaby,It was depressing to think of going to bed in such circumstances with the yelling of an Arctic storm for a lullaby.
Lullaby,"A child's preference for the mother's singing is, perhaps, a half reminiscence of the soft-low tones of the lullaby."
Lullaby,"Twas a quiet sea, breaking, in crooning lullaby, upon the rocks below my bedroom window."
Lullaby,"The night winds sing her lullaby, and little children hear the music of her voice and look into her answering eyes."
Lullaby,"She gave the gun to Polly, and told her to walk up and down the porch with it and sing a lullaby."
Luminescence,"Tim said to me, “What if someone took a picture on their iPad and then used this method to turn iPad luminescence into oil paint?”"
Luminescence,"And, ironically, in the darkness, he sees the luminescence of the jungle around him."
Luminescence,"It glowed in the room with a pearly luminescence, and she saw the man's eyes turning to it, drawn as if by magic."
Luminescence,The luminescence died; there was no longer light enough to penetrate to his helmet's darkened goggles.
Luminescence,"His left hand fell upon Assha's shoulder, turning the man half around as Ross, too, stepped upon the patch of luminescence."
Luminescence,"Then, swiftly as it had come, it was gone, and only a small globe of white luminescence floated above the great hulking machine."
Luminescence,"Hungrily the Earth man stared at his distant flash pistols, plainly visible in the luminescence of their fungus bedding."
Lyrical,"From a lyrical standpoint, there are precious few that can catch Kendrick."
Lyrical,I promised never again to wax lyrical about the fries in gravy.
Lyrical,"He loved simplicity in his musical arrangements, which allowed his lyrical message and melodies to shine through."
Lyrical,The lyrical declamation has inspired luminaries ranging from Kurt Vonnegut to Robert Frost.
Lyrical,This dad read it as the latter and wrote his own lyrical rebuttal to the tune.
Lyrical,"True hymns are sacred lyrics, and a lyric to be lyrical and heart appealing, must be inevitable."
Lyrical,"But what of the love, however expressed, in the lyrical invocation to the brown liqueur?"
Lyrical,Who shall sing in lyrical language the exhilaration of such splendid men's work?
Lyrical,"Still, Andronicus was the first to substitute the Greek drama for the old lyrical stage poetry."
Lyrical,"In lyrical poetry, the Romans can boast of one of the greatest masters of any age or nation."
Melancholy,"I found their melancholy inviting and I appreciated their contemplative, lonely world."
Melancholy,"In the first chapter, rebellious Holly Sykes runs away from home and headlong into the melancholy perils of first love."
Melancholy,"""Ah, that trip with Lance,"" he said, then glanced down, with those melancholy eyes."
Melancholy,The slurring of relationships and transactions has effects ranging from the gruesome to the melancholy.
Melancholy,"Young and gracious faces, somewhat remote and proud, but with a melancholy and sweet kindness."
Melancholy,"But, when the car came thundering down, it was crammed to the step; with a melancholy gesture, the driver declined her signal."
Melancholy,"At the same time he is appreciative and very amusing, and one has no chance to indulge in melancholy with him."
Melancholy,"Quaint old Burton in his ""Anatomy of melancholy,"" recognizes the virtues of the plant while he anathematizes its abuse."
Melancholy,There is among women always a melancholy satisfaction in seeing the very last of the beloved object.
Melancholy,There is nothing like it among us at the present day except within the melancholy precincts of the penitentiary.
Mellifluous,"In or out of uniform his motion is languid, his voice relaxed and mellifluous, his movements deliberate, confident."
Mellifluous,"And Costas is, after all, a guy who is famous for his mellifluous commentary on balls and strikes, touchdowns and field goals."
Mellifluous,By the time she had taken in so much as this the mellifluous young man had perceived and addressed himself to her brother.
Mellifluous,And the banks of those rivers resounded with the mellifluous strains of the male Kokilas and the notes of peacocks and cranes.
Mellifluous,"One is not surprised at their being addressed by such mellifluous epithets as Cushla machree, asthore, mavourneen!"
Mellifluous,"No, no; change churlish dreams and braving trumpets to mellifluous flutes."
Mellifluous,"Though she had spoken quite sharply at the telephone, her voice was mellifluous when she attuned it to Gabriella."
Miraculous,But a funny thing happened on the way to the funeral: a miraculous resurrection!
Miraculous,"A volunteer I spoke to at length, Julia Cohen, explained to me that the miraculous power of Amma is her intuitiveness."
Miraculous,The miraculous brand of Billy-the-Fish football is almost over and the butch giants are back.
Miraculous,"While no one doubts that Diaz is healed, surviving brain aneurysms is not exactly miraculous."
Miraculous,Inside her miraculous recovery and her fight against returning to Afghanistan.
Miraculous,"To Indians that appears a miraculous thing, beyond what is either acquired or natural."
Miraculous,"Hilda, once more and in a higher degree, realized the miraculous human power to make experience out of nothing."
Miraculous,"The fact alleged, then, is miraculous and important, and the evidence in proof of such a fact should be overwhelmingly strong."
Miraculous,"Joan was calmer now, and her mother had put on some warmer, and less miraculous, garments."
Miraculous,"Miss Anne went on to talk of Jean, a miraculous infant of infinite graces and accomplishments."
Nefarious,"Sometimes politicians oppose reform for nefarious reasons—to protect a special interest or a major donor, for example."
Nefarious,"The Arabs offered the Nazis a haven, as well as a market for all their nefarious dealings in arms and black market currency."
Nefarious,Rumors swirled that the McStays had gone into Mexico and were involved in nefarious dealings with drug cartels.
Nefarious,"But Green-Wood is more famous for its nefarious residents, those of the drug-peddling, political-swindling, hit-men variety."
Nefarious,Greece claims they were looted from the Parthenon by a nefarious British Indiana Jones character in the early 1800s.
Nefarious,"Some were even re-arrested for the same nefarious purpose, and the daily papers published their names on each occasion."
Nefarious,"There, if his eyes did not deceive him, were evidences of mortar dislodged by nefarious toes."
Nefarious,"She was to join him a week later, after he had had time to spy out the land and make his nefarious schemes for a mock marriage."
Nefarious,"It wasn't built by Green, but by a former owner of the farm, who was in the same nefarious business."
Nefarious,"This is, then, what Bond artifice effected in the absence of actual cause and in order to dissimulate its own nefarious objects."
Nemesis,"He finally died in a drawn-out battle with his Irish mobster nemesis, John Morrissey."
Nemesis,The Third Reich met its nemesis as much here as it had—albeit in far greater numbers—at Stalingrad.
Nemesis,Neither her name nor her nemesis are among the slurred words I can make out.
Nemesis,The nemesis that emerges most potently is that of reality TV.
Nemesis,The site is provocative enough in the vegan world to earn its own digital arch-nemesis “30 Bananas A Day…Sucks!”
Nemesis,We have swift reward and punishment—no hateful things called nemesis.
Nemesis,"Then, as though grown weary of the idyllic romance she was composing, Fortune donned the tragic robes of nemesis."
Nemesis,"What was the tragic destiny that hung over them—the nemesis that gripped them, and forced them to take such a chance?"
Nemesis,"When off the island of Moora the nemesis came suddenly upon a fleet of eleven pirate boats, pursuing a trading prahu."
Nemesis,"The nemesis chased the pirates to the shore, who drew up in line along the beach."
Oblivion,"If opponents of gay rights are supposed to be retreating into oblivion, they missed the memo."
Oblivion,The team could sink into oblivion—or be bought by a beloved figure who could transform it.
Oblivion,"That which gave him the power over me came back out of oblivion, where I had hoped to keep it."
Oblivion,"Instead, one is headed to political oblivion, and the other is staring it in its face."
Oblivion,"Not even a plan: just a wild lashing out, really, against oblivion."
Oblivion,"He was contemporary with Milton, and preferred before him by critics of the day, but has now sunk into oblivion."
Oblivion,"Could you have let them alone, by this time, poor Souls, they had been all peaceably buried in oblivion!"
Oblivion,"After the total oblivion of the matter in his waking moments, he will sometimes recall all the details of the affair in a dream."
Oblivion,"Sleep kindly came to some, and lulled their spirits into momentary oblivion."
Oblivion,"Holding the violin aloft, he cried exultingly: Henceforth thou art mine, though death and oblivion lurk ever near thee!"
Onomatopoeia,He seemed as much taken aback as if he had found a tribe of Cherokees studying onomatopoeia in English verse.
Onomatopoeia,All words which were spontaneously acquired seemed to be instances of onomatopoeia.
Onomatopoeia,"onomatopoeia, formations of words resembling in sound that of the things denoted by them."
Onomatopoeia,"Mao, the term for a ""cat,"" is obviously an example of onomatopoeia."
Onomatopoeia,This correspondence of sound and sense is called onomatopoeia.
Opulence,"We see it at several different periods, from the height of its opulence in the 1930s to the shabby Communist look of the 1960s."
Opulence,"The scale, opulence and fantasy so prevalent a few miles away on the Strip is nowhere to be found."
Opulence,"Many say that The Great Beauty is the new Fellini, with its handsome surrealism, baroque expressions, and casual opulence."
Opulence,"The Daily Pic: The Met's Cloisters branch turns 75, and shows off knightly opulence."
Opulence,"The opulence of the gifts is legendary, and it used to be that the presenters and performers at the ceremony also received them."
Opulence,"There were hundreds of thousands in France, the most illustrious in rank and opulence, who would join such an army."
Opulence,"opulence introduced the cultivation of the fine arts, with a taste for literature, and consequently for disputation."
Opulence,There are beings so dejected—so penurious—that this swearing constitutes their whole store of worldly opulence.
Opulence,The emigrant from the sandbanks of Cape Cod revels in the profusion of the opulence of Ohio.
Opulence,"Hundreds of families were burned out, and reduced from opulence, or at least competency, to penury."
Paradox,"But I feel like films are uniquely suited towards addressing paradox, recursiveness, and worlds-within-worlds."
Paradox,"To appreciate the Palmer paradox, it's important to understand that Palmer's childhood and young adulthood were dichotomous."
Paradox,"“Maybe we need a new category other than theism, atheism or agnosticism that takes paradox and unknowing into account,” he writes."
Paradox,But Washington was a prisoner to its paradox of an Iraq policy.
Paradox,"As a result of this paradox, the Iraq policy process ground to a halt at the very moment that ISIS was on the rise."
Paradox,"It offers, to those who see it aright, the most perplexing industrial paradox ever presented in the history of mankind."
Paradox,But in reality this paradox of value is the most fundamental proposition in economic science.
Paradox,"It was the spiritual way, whose method and secret lie in that subtle paradox: Yield to conquer."
Paradox,"But it was a strange paradox, that precisely the depth of his love for her made him willing to think of losing her."
Paradox,But this very paradox leads to the real principle of generalization concerning the properties of numbers.
Peace,"Domestically, the prime minister maintains the dubious line that he is the only man who can keep the still-fragile peace."
Peace,"They called for peace, reconciliation, and the safe return of Father Gregorio."
Peace,The question is will we see regime changes in both Hamas and Israel that embrace a lasting peace?
Peace,"But without any peace talks on the horizon, everyone is now left to their own devices."
Peace,"At Christianity Today, Peter Chin claims Christians should preach peace instead of bogging down in the particulars of race."
