keyword,sentances,translation
Elegance,"This Palmer stands for [Elegance] and sophistication: the embodiment of natural gifts, both athletic and personal.","Palmer iki singkatan saka [Elegance] lan kecanggihan: pawujudan saka peparingé alam, loro atletik lan pribadi."
Elegance,"Bratis, who trained in Athens, creates pieces of “femininity and pure [Elegance] without artifice.”","Bratis, sing dilatih ing Athena, nggawe potongan ""feminitas lan murni [Elegance] tanpa artifice."""
Elegance,"England was almost as good, if mostly in the [Elegance] of their defense.","Inggris meh apik, yen biasane ana ing [Elegance] pertahanane."
Elegance,"She is always attired in black, and is utterly careless in dress, yet nothing can conceal her innate [Elegance] of figure.","Dheweke tansah nganggo klambi ireng, lan ora sopan nganggo busana, nanging ora ana sing bisa ndhelikake [Elegance] asline."
Elegance,"After all she, Hilda, possessed some mysterious characteristic more potent than the [Elegance] and the goodness of Janet Orgreave.","Sawise kabeh dheweke, Hilda, duwe sawetara karakteristik misterius sing luwih kuat tinimbang [Elegance] lan kabecikan Janet Orgreave."
Elegance,"He was distinguished for personal courage, as well as taste for [Elegance] and splendor, whence he was called the munificent.","Dheweke dibedakake amarga keberanian pribadi, uga rasa [Elegance] lan kamulyan, mula dheweke diarani mujijat."
Elegance,"He wrote verses with [Elegance] in French, Spanish and Italian, and was a polisher of his native language in a barbarous age.","Dheweke nulis syair nganggo [Elegance] ing basa Prancis, Spanyol lan Italia, lan dadi tukang polishing basa ibune ing jaman biadab."
Elegance,The [Elegance] of his stature and the pensive melancholy of his classic features invested him with a peculiar power of fascination.,The [Elegance] saka stature lan melankolis pensive saka fitur klasik kang nandur modhal karo daya aneh saka daya tarik.
Elixir,"Football “is what Plato calls a pharmakon, a poison and an [Elixir],” he writes.","Bal-balan ""yaiku sing diarani Plato pharmakon, racun lan [Elixir],"" dheweke nulis."
Elixir,And the rising star still standing just might be in the best position to offer some [Elixir] to our deeply ailing political system.,Lan lintang sing isih munggah bisa uga ana ing posisi sing paling apik kanggo menehi sawetara [Elixir] menyang sistem politik kita sing lara banget.
Elixir,Only she can make hetersoexuality sound like a life-saving [Elixir] that I need to inject directly into my veins.,Mung dheweke bisa nggawe heteroexuality muni kaya nylametake nyawa [Elixir] sing kudu disuntik langsung menyang urat.
Elixir,"My wife had a very deadly form of cancer, and his story was a powerful [Elixir] that helped us get through it.","Bojoku nandhang penyakit kanker sing mateni, lan critane minangka [Elixir] sing kuat sing mbantu kita ngatasi."
Elixir,"How a 1,000-year-old fragrant [Elixir] traveled over continents and time to become the signature drink of the Kentucky Derby.",Kepiye wangi [Elixir] umur 1.000 taun ngliwati bawana lan wektu dadi minuman khas Kentucky Derby.
Elixir,"He is seeking the [Elixir] of long life, for which superior minds have been seeking these two thousand years.","Dheweke nggoleki [Elixir] umur dawa, sing wis digoleki dening pikiran sing unggul rong ewu taun iki."
Elixir,"Your [Elixir] will not prevent a chimney falling on a man, a bullet going clear through him, or a horse kicking his skull open?","[Elixir] Panjenengan ora bakal nyegah cerobong asep tiba ing wong, peluru arep liwat wong, utawa jaran nendhang tengkorak mbukak?"
Elixir,I gave him the precious [Elixir] which my mother alone on earth could draw from roots such as no eye of man has ever seen.,"Aku menehi dheweke [Elixir] sing larang regane, sing ibuku mung ana ing bumi bisa njupuk saka oyod sing durung tau dideleng dening mripat manungsa."
Elixir,"Sanatogen, the new [Elixir] of life compounded of casein and glycerophosphates, has been noticed in The Journal from time to time.","Sanatogen, [Elixir] urip anyar sing digabung karo kasein lan gliserofosfat, wis ditemokake ing Jurnal saka wektu kanggo wektu."
Elixir,"The result was that our friend sent to Kansas for the ""[Elixir] of Life.""","Asil ana sing kanca kita dikirim kanggo Kansas kanggo ""[Elixir] gesang."""
Eloquence,"Wall Street Journal: “Begley has a great many strengths—concision, [Eloquence], an eagle eye—and few of the usual shortcomings.”","Wall Street Journal: ""Begley duwe akeh kekuwatan - concision, [Eloquence], mripat elang-lan sawetara kekurangan sing biasa."""
Eloquence,"And Young, once again with admirable [Eloquence], stands by it.","Lan Young, sepisan maneh karo nggumunake [Eloquence], ngadeg dening iku."
Eloquence,"As sometime Davos attendee Bill Clinton once said, “Explanation is [Eloquence].”","Kaya sing ana ing Davos, Bill Clinton, ujar, ""Penjelasan yaiku [Eloquence]."""
Eloquence,"He turned his trial into an indictment of apartheid because of his [Eloquence] and passion, but also his training as an advocate.","Dheweke ngowahi pengadilan dadi dakwaan apartheid amarga [Eloquence] lan semangat, nanging uga latihan minangka advokat."
Eloquence,"In his speech, Obama provided some evidence that he plans to lead with action—not merely [Eloquence].","Ing wicarane, Obama nyedhiyakake sawetara bukti yen dheweke arep mimpin kanthi tumindak-ora mung [Eloquence]."
Eloquence,"Thomas Cooper, an English prelate, died; highly commended for his great learning and [Eloquence].","Thomas Cooper, prelate Inggris, tilar donya; banget dipuji amarga sinau lan [Eloquence]."
Eloquence,"He said no more in words, but his little blue eyes had an [Eloquence] that left nothing to mere speech.","Dheweke ora ngandika maneh ing tembung, nanging mripat biru sethitik duwe [Eloquence] sing ora ninggalake apa-apa kanggo mung wicara."
Eloquence,"He was the friend of Descartes, and a philosopher; distinguished for his [Eloquence] and as an author.","Dheweke kanca Descartes, lan filsuf; dibedakake kanggo [Eloquence] lan minangka penulis."
Eloquence,"He warmly espoused the interests of his country, and many important measures were effected by his [Eloquence].","Dheweke seneng karo kepentingan negarane, lan akeh langkah penting sing ditindakake dening [Eloquence]."
Eloquence,"But our [Eloquence] accomplished p. 107little—some small modification regarding mixed trains, and that was all.","Nanging kita [Eloquence] rampung p. 107cilik—sawetara modifikasi cilik babagan sepur campuran, lan mung iku."
Ephemeral,"Following an all too predictable cycle of the hyperactive 21st century, focus on the explosion was [Ephemeral].","Sawise siklus sing bisa diprediksi ing abad 21 sing hiperaktif, fokus ing bledosan yaiku [Ephemeral]."
Ephemeral,"Whatever his approval ratings, the Russian leader knows how [Ephemeral] they can be.","Apa wae peringkat persetujuan, pimpinan Rusia ngerti kepiye [Ephemeral] bisa."
Ephemeral,"Most news articles were just as [Ephemeral], but it has become harder to pretend.","Umume artikel warta padha [Ephemeral], nanging dadi luwih angel kanggo pura-pura."
Ephemeral,"It may all be [Ephemeral], because most of politics is [Ephemeral], a cynical means to the end of getting elected.","Bisa uga kabeh [Ephemeral], amarga umume politik yaiku [Ephemeral], cara sinis kanggo pungkasane milih."
Ephemeral,"But as stimulus goes, the I-stimulus strikes me as a pretty narcissistic and [Ephemeral] one.","Nanging minangka stimulus dadi, I-stimulus nyerang kula minangka cantik narcissistic lan [Ephemeral]."
Ephemeral,"Do not suppose that I mean to recommend poor music, or feeble, [Ephemeral] compositions.","Aja ngira yen aku arep menehi rekomendasi musik sing ora apik, utawa komposisi [Ephemeral]."
Ephemeral,"The Widow Lawton ornamented her kitchen floor in a manner as [Ephemeral], though less expensive.","Randha Lawton dekorasi lantai pawon kanthi cara [Ephemeral], sanajan luwih murah."
Ephemeral,"Another [Ephemeral] paper, L'Italia del Popolo, was launched on its short career.","Makalah [Ephemeral] liyane, L'Italia del Popolo, diluncurake ing karir sing cendhak."
Ephemeral,"They were, no doubt, chiefly of a pantomimic and [Ephemeral] kind.","Dheweke, mesthi, utamane saka jinis pantomimik lan [Ephemeral]."
Ephemeral,"But like all dunghill products, the life of these was [Ephemeral].","Nanging kaya kabeh produk dunghill, urip iki [Ephemeral]."
Epiphany,Richard Kurin was a 19-year-old anthropology student in India when he experienced his material culture [Epiphany].,Richard Kurin minangka mahasiswa antropologi 19 taun ing India nalika ngalami budaya material [Epiphany].
Epiphany,"Zaks experienced an [Epiphany] of sorts a couple years ago, when he was looking through a book of Tony Walton illustrations.","Zaks ngalami [Epiphany] sawetara taun kepungkur, nalika dheweke nggoleki buku ilustrasi Tony Walton."
Epiphany,"While watching The Ten Commandments on TV with their children for the umpteenth time, Burnett and Downey had an [Epiphany].","Nalika nonton The Ten Commandments ing TV karo anak-anake kanggo kaping sepuluh, Burnett lan Downey duwe [Epiphany]."
Epiphany,"This was an [Epiphany], this was imprinted on you, you could do anything now.","Iki minangka [Epiphany], iki dicithak ing sampeyan, sampeyan bisa nindakake apa wae saiki."
Epiphany,"The teenager went to rehab, and then went right back to using—until he had an [Epiphany].","Remaja kasebut pindhah menyang rehab, lan banjur bali menyang nggunakake-nganti dheweke duwe [Epiphany]."
Epiphany,"Their escape was made at midnight on the eve of [Epiphany], 1649, all the court following in great disorder.","Uwal kasebut ditindakake ing tengah wengi ing wayah wengi [Epiphany], 1649, kabeh pengadilan ngetutake gangguan gedhe."
Epiphany,"Neophytes should therefore be baptized at Easter and Pentecost alone, never at [Epiphany].","Mulane Neophytes kudu dibaptis ing Paskah lan Pentakosta piyambak, ora tau ing [Epiphany]."
Epiphany,"So careful is the poet to prepare both sides—the divine [Epiphany], and the mortal who is to behold it.","Dadi ati-ati pujangga kanggo nyiapake loro-lorone - gaib [Epiphany], lan fana sing bakal weruh."
Epiphany,He thought the lessons of the Nativity and [Epiphany] came as a very wholesome corrective to these tendencies.,Dheweke ngira piwulang babagan Nativity lan [Epiphany] minangka koreksi sing apik banget kanggo kecenderungan kasebut.
Epiphany,"There is nothing of him now in Florence, save a few drawings in the Uffizi and an unfinished picture of the [Epiphany].","Ora ana apa-apa saka dheweke saiki ing Florence, nyimpen sawetara gambar ing Uffizi lan gambar sing durung rampung saka [Epiphany]."
Eternity,"After what seemed a desperate [Eternity], a doctor shook his head.","Sawise apa sing katon nekat [Eternity], dhokter geleng-geleng kepala."
Eternity,"The Newsroom aired its final episode on Sunday, already an [Eternity] ago in news-cycle terms.","The Newsroom ditayangke episode pungkasan ing dina Minggu, wis [Eternity] kepungkur ing istilah siklus warta."
Eternity,"He rests lavishly, depicted in a marble sarcophagus that stares up for [Eternity] at the carved depictions of his life story.","Dheweke santai banget, digambarake ing sarcophagus marmer sing mentheleng [Eternity] ing gambaran sing diukir saka crita uripe."
Eternity,"But this is also a parody of narcissism, just a little detour to [Eternity].","Nanging iki uga parodi saka narcissism, mung detour sethitik kanggo [Eternity]."
Eternity,"Finally, after an [Eternity]—lasting maybe two seconds—I did what I usually do when faced with fear squatting in my stomach.","Pungkasan, sawise [Kelanggengan] - bisa uga rong detik - aku nindakake apa sing biasane daklakoni nalika ngadhepi rasa wedi squatting ing weteng."
Eternity,"The blessings of time and [Eternity] constitute the part of the promise offered to believers, through Christ.","Berkah wektu lan [Langgeng] minangka bagean saka janji sing ditawakake kanggo wong-wong sing percaya, liwat Kristus."
Eternity,One instant in all [Eternity] would have made just the difference between life and death to you.,Siji instan ing kabeh [Kalanggengan] bakal nggawe prabédan antarane urip lan pati kanggo sampeyan.
Eternity,"He who wrongs a fellow-creature wrongs himself as well, and wrongs both for all [Eternity].","Sapa sing nganiaya marang sesama makhluk, dheweke uga nganiaya awake dhewe, lan nglanggar loro-lorone kanggo kabeh [Kalanggengan]."
Eternity,"At the close of the supper he filled his glass, and rising, proposed to drink to the [Eternity] of the Republic.","Ing pungkasan nedha bengi dheweke ngisi gelas, lan munggah, ngusulake ngombe menyang [Kalanggengan] Republik."
Eternity,An [Eternity] did it seem before those men returned and marched once more over his head.,[Kelanggengan] katon sadurunge wong-wong mau bali lan mlaku maneh ing sirahe.
Ethereal,"Bitcoin began 2013 with a roaring price of $770 per unit, and businesses right and left were converting to the [Ethereal] product.","Bitcoin wiwit 2013 kanthi rega $ 770 saben unit, lan bisnis tengen lan kiwa padha ngowahi menyang produk [Ethereal]."
Ethereal,But when modern-day conservationists surveyed the offshore rocks they discovered something even more [Ethereal] lurking within.,"Nanging nalika konservasionis modern nliti watu lepas pantai, dheweke nemokake sing luwih [Ethereal] sing ana ing njero."
Ethereal,One skeleton in particular has become famous for the brutal way she died and the [Ethereal] way her body was preserved.,Salah sawijining balung utamane wis misuwur amarga cara brutal dheweke seda lan cara [Ethereal] awak dilestarekake.
Ethereal,"C, lastly, I just think [Perritaz] has a natural taste for purity, delicacy, and [Ethereal] balance.","C, pamungkas, aku mung mikir [Perritaz] nduweni rasa alami kanggo kemurnian, kelezatan, lan keseimbangan [Ethereal]."
Ethereal,"I remember telling people at the time, ‘This kid is so [Ethereal] and interesting.’","Aku elinga ngandhani wong-wong ing wektu iku, 'Bocah iki pancen [Ethereal] lan menarik.'"
Ethereal,"Her white face looked [Ethereal] in the moonlight, and her bloodless lips were quivering with returning life.","Pasuryane putih katon [Ethereal] ing cahya rembulan, lan lambene sing ora ana getihe quivering karo urip bali."
Ethereal,"It may be applied directly to a suspected fluid, or, better, to the [Ethereal] extract.","Bisa ditrapake langsung menyang cairan sing dicurigai, utawa, luwih apik, menyang ekstrak [Ethereal]."
Ethereal,"Madame Colleville was a Parisian, piquant, winning and pretty, as well as clever and [Ethereal].","Madame Colleville minangka Parisian, piquant, menang lan ayu, uga pinter lan [Ethereal]."
Ethereal,"Again he sat in the soft darkness, before the ghostly glimmer of the silk, tracing upon it visions of [Ethereal] light.","Maneh lungguh ing pepeteng alus, sadurunge glimmer ghostly saka sutra, tracing marang wahyu [Ethereal] cahya."
Ethereal,See the ideal and [Ethereal] being whom you have been so faithfully impersonating all the afternoon!,Delengen makhluk sing becik lan [Ethereal] sing wis sampeyan tiru kanthi setya ing wayah sore!
Euphoria,"“She was tireless and often seemed in a state of [Euphoria],” Pausini told police, according to the documents.","""Dheweke ora kesel lan asring katon ing [Euphoria],"" Pausini marang polisi, miturut dokumen kasebut."
Euphoria,But her [Euphoria] evaporates when she realizes he is simply trying to pretend she is a man.,Nanging dheweke [Euphoria] nguap nalika dheweke nyadari yen dheweke mung nyoba nganggep dheweke dadi wong lanang.
Euphoria,"“I feel absolutely clean inside, and there is nothing but pure [Euphoria],” wrote Shulgin in his journals.","""Aku rumangsa resik ing njero, lan ora ana apa-apa kajaba [Euphoria] murni,"" tulis Shulgin ing jurnal."
Euphoria,"Then, the post-[Euphoria] realization: “I need to get to the gym.”","Banjur, kesadaran post-[Euphoria]: ""Aku kudu menyang gedung olahraga."""
Euphoria,"In the years since, it has become harder to maintain the [Euphoria] of those early months of the Arab uprisings.","Ing taun-taun kasebut, dadi luwih angel kanggo njaga [Euphoria] ing wulan-wulan awal pemberontakan Arab."
Euphoria,Everyone roughly within a radius of fifty feet—I've checked the limit a thousand times—immediately feels a sort of [Euphoria].,Saben uwong sing kira-kira ing radius sèket kaki-aku wis mriksa watesan kaping sewu-langsung ngrasakake jenis [Euforia].
Euphoria,I felt the great fear-loneliness in the other Marl begin to recede and in its place came an almost overpowering [Euphoria].,Aku felt wedi-kesepian gedhe ing Marl liyane wiwit surut lan ing panggonane teka meh overpowering [Euphoria].
Euphoria,"There is no metaphysical hair-splitting in An Enemy of the People, nor sentimental talk about [Euphoria] and going happily to death.","Ora ana metafisika rambut pamisah ing An Enemy of the People, utawa omongan sentimental babagan [Euphoria] lan bakal mati kanthi seneng."
Euphoria,"It was against the law for dozy-pills to produce a sensation of [Euphoria], of well-being.","Iku nglanggar hukum kanggo dozy-pil ngasilake sensasi [Euphoria], kesejahteraan."
Euphoria,"Her hesitant voice was music, rousing in Farrell a warm and expectant [Euphoria] that glowed like old wine in his veins.","Swara sing ragu-ragu yaiku musik, nggumunake Farrell minangka [Euphoria] sing anget lan ngarep-arep sing sumunar kaya anggur lawas ing urat."
Extravagance,"Cereal brings back memories of lazy mornings and easy [Extravagance], a time when worries were few and comfort was plenty.","Sereal nggawa bali pengeling-eling esuk kesed lan gampang [Extravagance], wektu nalika kuwatir mung sawetara lan comfort akeh."
Extravagance,"Unfortunately, despite the [Extravagance] of the parades, Putin was not there to witness the festivities.","Sayange, senadyan [Extravagance] parade, Putin ora ana ing kono kanggo nyekseni perayaan kasebut."
Extravagance,"Gaga may call ARTPOP her new look, but it seems that the singer's need for [Extravagance] is part of her same old tricks.","Gaga bisa uga nyebut ARTPOP minangka tampilan anyar, nanging misale jek yen penyanyi butuh [Extravagance] minangka bagean saka trik lawas sing padha."
Extravagance,But eight-penny bread would be an outrageous [Extravagance] in these times.,Nanging roti wolung sen bakal dadi [Extravagance] sing nggumunake ing jaman saiki.
Extravagance,"Many have accused the Spanish royals of living a life of [Extravagance] using public funds, even as much of Spain is suffering.","Akeh sing nyalahake kraton Spanyol urip [Extravagance] nggunakake dana umum, sanajan Spanyol nandhang sangsara."
Extravagance,"The room was prettily furnished, and Georgie had often accused herself of [Extravagance].","Kamar kasebut dilengkapi kanthi apik, lan Georgie asring nuduh awake dhewe [Extravagance]."
Extravagance,"What reliance could repose upon a house, divided against itself—not safe from the [Extravagance] and pillage of its own members?","Kapercayan apa sing bisa ditindakake ing omah, sing dipisahake karo awake dhewe - ora aman saka [Extravagance] lan rampasan anggotane dhewe?"
Extravagance,"This is one of the truths which sloth, rapacity and [Extravagance] are slow to learn, yet which they cannot safely ignore.","Iki minangka salah sawijining bebener sing kemalasan, rapacity lan [Extravagance] alon sinau, nanging ora bisa ditolak kanthi aman."
Extravagance,"I doubt,” she answered, with the instinct of [Extravagance] that annoyed Hubert, “I doubt if I know anything else.","Aku mangu-mangu,"" wangsulane, kanthi naluri [Extravagance] sing ngganggu Hubert, ""Aku ragu yen aku ngerti liyane."
Extravagance,"But there was in general nothing Oriental about him, no assumption of barbaric pompousness, no [Extravagance] of bearing.","Nanging umume ora ana apa-apa Oriental babagan dheweke, ora ana asumsi babagan kemewahan barbar, ora ana [Extravagance] saka prewangan."
Felicity,"[Felicity] Huffman [who starred on the show] texted me, “That street looks very familiar ...” She tweeted me.","[Felicity] Huffman [sing mbintangi acara kasebut] ngirim pesen marang aku, ""Lan iki katon akrab banget ..."" Dheweke tweeted aku."
Felicity,Alias would make a star out of former [Felicity] guest star Garner and become an international hit.,Alias ​​bakal nggawe bintang saka mantan bintang tamu [Felicity] Garner lan dadi hit internasional.
Felicity,"Cherry admitted he told at least two of her costars, Eva Longoria and [Felicity] Huffman, two months earlier.","Cherry ngakoni dheweke ngandhani paling ora loro costars dheweke, Eva Longoria lan [Felicity] Huffman, rong wulan sadurunge."
Felicity,"After [Felicity] wrapped in 2002, many of his costars graduated to bigger projects.","Sawise [Felicity] dibungkus ing taun 2002, akeh kanca-kancane sing lulus menyang proyek sing luwih gedhe."
Felicity,‘The Vow’: What Happened to ‘[Felicity]’ Hunk Scott Speedman?,'The Vow': Apa sing kedadeyan karo '[Felicity]' Hunk Scott Speedman?
Felicity,"He is a creator of television shows including [Felicity], Alias, and Lost.","Dheweke dadi pencipta acara televisi kalebu [Felicity], Alias, lan Lost."
Felicity,"“Now this is what I call real [Felicity],” observed the major, pulling out a pipe which he proceeded to fill.","""Saiki iki sing diarani nyata [Felicity],"" ujare utama, narik pipa sing terus diisi."
Felicity,"The charm of style, the delicacy of touch, and [Felicity] of phrase, are in both cases preeminent.","Pesona gaya, delicacy saka tutul, lan [Felicity] frase, ing loro kasus preeminent."
Felicity,I conceive that the strictest union of affection is requisite to conjugal [Felicity].,Aku nganggep yen persatuan katresnan sing paling ketat dibutuhake kanggo conjugal [Felicity].
Felicity,"Marriage, which ought to be a source of all [Felicity], is often to a man a heavy burden which crushes him through want of fortune.","Perkawinan, sing kudu dadi sumber kabeh [Felicity], asring kanggo wong lanang minangka beban sing abot sing ngremukake dheweke amarga kekurangan rejeki."
